eu_sdg,table,table_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2008,0.048,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2009,0.045,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2010,0.049,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2011,0.051,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2012,0.051,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2013,0.046,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2014,0.047,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2015,0.051,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2016,0.047,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2017,0.05,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2018,0.049,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2019,0.05,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2020,0.055,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2021,0.053,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2000,0.036,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2001,0.039,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2002,0.037,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2003,0.045,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2004,0.033,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2005,0.031,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2006,0.031,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2007,0.028,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2008,0.031,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2009,0.033,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2010,0.027,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2011,0.029,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2012,0.025,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2013,0.024,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2014,0.023,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2015,0.023,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2016,0.027,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2017,0.026,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2018,0.027,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2019,0.023,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2020,0.025,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EE,Estonia,2021,0.022,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2000,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2001,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2002,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2003,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2004,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2005,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2006,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2007,,
